POSTE,HEURE,VITESSE,DEBIT (VEH/6min)
47,04:30,64.25,6.5
47,04:36,61.85,7.5
47,04:42,62.34,10.33
47,04:48,64.11,10.83
47,04:54,60.79,6.17
47,05:00,61.77,9
47,05:06,62.02,10.67
47,05:12,60.4,10.67
47,05:18,60.46,19.67
47,05:24,60.1,18.67
47,05:30,60.37,22.33
47,05:36,60.07,30.67
47,05:42,61.52,35.5
47,05:48,61.28,34.5
47,05:54,59.87,32.67
47,06:00,61.79,30.67
47,06:06,59.5,35.33
47,06:12,60.44,38.83
47,06:18,59.46,50.83
47,06:24,58.89,67
47,06:30,57.46,71.17
47,06:36,57.38,85.33
47,06:42,56.16,93.17
47,06:48,55.95,93.67
47,06:54,53.65,96.33
47,07:00,53.28,91.33
47,07:06,52.11,90.67
47,07:12,51.06,78.67
47,07:18,51.23,83.67
47,07:24,48.46,81
47,07:30,49.12,81
47,07:36,48.86,79.83
47,07:42,45.13,79.83
47,07:48,46.18,75.17
47,07:54,45.11,87.33
47,08:00,47.32,58
47,08:06,47.13,74.5
47,08:12,45.66,55.33
47,08:18,47.3,51.67
47,08:24,48.44,69.33
47,08:30,49.05,58.67
47,08:36,49,61.67
47,08:42,48.99,59.67
47,08:48,47.57,61.83
47,08:54,48.39,64.33
47,09:00,47.02,69.5
47,09:06,47.89,51
47,09:12,48.92,58
47,09:18,51.5,59.5
47,09:24,49.09,68.33
47,09:30,49.34,77.83
47,09:36,50.28,66.17
47,09:42,54.8,55.17
47,09:48,55.44,58.67
47,09:54,52.55,69.17
47,10:00,54.9,66.17
47,10:06,55.14,60.67
47,10:12,54.85,68.67
47,10:18,56.96,57.5
47,10:24,54.79,52.5
47,10:30,54.74,50.67
47,10:36,55.03,58.33
47,10:42,51.29,57.5
47,10:48,50.21,44.83
47,10:54,51.04,51
47,11:00,50.87,51
47,11:06,51.35,46.83
47,11:12,51.87,50.33
47,11:18,51.15,53.67
47,11:24,55.44,59.33
47,11:30,57.85,61
47,11:36,57.52,63.67
47,11:42,57.58,56
47,11:48,56.07,58.67
47,11:54,49.62,54.67
47,12:00,53.8,56.17
47,12:06,58.19,52.5
47,12:12,58.79,54.17
47,12:18,58.41,53.67
47,12:24,59.06,55.67
47,12:30,58.6,56.5
47,12:36,57.31,60.33
47,12:42,59.05,54
47,12:48,59.35,52.83
47,12:54,59.18,48.5
47,13:00,59.51,48.83
47,13:06,59.33,52
47,13:12,58.28,55.5
47,13:18,57.97,60.83
47,13:24,58.22,62.83
47,13:30,58.87,57
47,13:36,58.61,60
47,13:42,57.01,62.67
47,13:48,50.88,64
47,13:54,51.1,61.67
47,14:00,51.95,48.5
47,14:06,50.19,50.17
47,14:12,50.86,52.33
47,14:18,51.34,55.83
47,14:24,51.59,54.67
